File#,Incident_Date,UCR,Inc_Address
15-001922,1/18/2015 21:00,"ROBBERY, STRONG ARM, STREET",340 DUNCAN AVE
15-001264,1/18/2015 22:46,LARCENY OVER 200 FROM AUTOS,509 MARTIN LUTHER KING DRIVE
15-001274,1/19/2015 3:30,VANDALISM BUSINESS,3495 JFK (KENNEDY BLVD)
15-001272,1/19/2015 6:32,VANDALISM BUSINESS,32 BROADWAY
15-001285,1/19/2015 7:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",272 GROVE ST
15-001287,1/19/2015 9:58,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,625 COMMUNIPAW AVE
15-001859,1/19/2015 11:20,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,393 ARMSTRONG AVE
15-001304,1/19/2015 13:53,ASSAULT WITH OTHER WEAPON,191 WEGMAN PKWY 3L
15-001311,1/19/2015 14:00,VANDALISM M.V.,32 POPLAR ST
15-001307,1/19/2015 15:00,VANDALISM RESIDENCE,617 JERSEY AVE
15-001320,1/19/2015 17:15,ASSAULT WITH A FIREARM,67 GRIFFITH ST
15-001327,1/19/2015 18:51,LARCENY OVER 200 FROM BUILDING,320 CENTRAL AVE
15-001332,1/19/2015 19:39,LARCENY OVER 200 BIKES,100 14TH ST
15-001337,1/19/2015 21:40,"ROBBERY, STRONG ARM, STREET",340 DUNCAN AVE
15-001338,1/19/2015 23:37,LARCENY 50 TO 200 FROM BUILDING,355 GRAND ST
15-001357,1/20/2015 8:00,LARCENY OVER 200 FROM AUTOS,118 JEWETT AVE
15-001428,1/20/2015 14:00,LARCENY OVER 200 OTHER,229 DUNCAN AVE Floor: 1
15-001378,1/20/2015 14:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",272 BERGEN AVE 3a
15-001368,1/20/2015 14:32,SIMPLE ASSAULT,222 MERCER ST
15-001381,1/20/2015 15:20,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",61 BELMONT AVE
15-001375,1/20/2015 15:54,ASSAULT WITH OTHER WEAPON,146 Orient Ave
15-001426,1/20/2015 18:00,"ROBBERY, STRONG ARM, STREET",EGE AVE & BERGEN AVE
15-001394,1/20/2015 21:55,"ROBBERY, STRONG ARM, STREET",396 WESTSIDE AVE (WEST SIDE AVE)
15-001398,1/21/2015 0:48,LARCENY OVER 200 FROM AUTOS,CORNELISON AVE & FAIRMOUNT AVE
15-001406,1/21/2015 7:02,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",23 OLD BERGEN RD Floor: 1
15-001409,1/21/2015 8:10,LARCENY 50 TO 200 FROM AUTOS,Oakland Avenue and Laidlaw Avenue
